row_id,input_type,input_text,output_json,skip_reason,industry,monthly_revenue_raw,use_of_funds,requested_amount_raw,product_interest,pending_actions_count,has_stacked_history,current_active_positions_count,recent_stacking_active,review_flag
notes_001,rep_note,wife sends docs [EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
notes_002,rep_note,Trying to see if [LENDER] funded him or no. Sent docs on 11K [BIZ],"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":{""value_usd"":11000,""raw"":""11K""},""product_interest"":[""MCA""],""pending_actions"":[{""actor"":""rep"",""action"":""confirm if [LENDER] funded"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,11K,MCA,1,false,,false,
notes_003,rep_note,"from 20-28k a piece, will be getting invoices for 3 vehicles, has financed vehicles in the past daycab trucks.","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""equipment"",""detail"":""3 daycab trucks at 20-28k each""},""requested_amount"":{""value_usd"":72000,""raw"":""20-28k a piece for 3 vehicles""},""product_interest"":[""EQUIPMENT""],""pending_actions"":[{""actor"":""lead"",""action"":""send invoices for 3 vehicles"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,equipment: 3 daycab trucks at 20-28k each,20-28k a piece for 3 vehicles,EQUIPMENT,1,false,,false,
notes_004,rep_note,"might be a waste of time, emailed aand texted requesting heloc info","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""HELOC""],""pending_actions"":[{""actor"":""lead"",""action"":""respond to HELOC info request"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,HELOC,1,false,,false,
notes_005,rep_note,210k in debt wants 375k - wants equipment 3 more clients and a roll off truck -,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""equipment"",""detail"":""3 more clients and a roll off truck""},""requested_amount"":{""value_usd"":375000,""raw"":""375k""},""product_interest"":[""SBA"",""EQUIPMENT""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":{""count"":null,""total_debt_usd"":210000},""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,equipment: 3 more clients and a roll off truck,375k,"SBA,EQUIPMENT",0,false,None,false,
notes_006,rep_note,sent over email for the [BANK] statements - wants 125k for equiment - biz has been a little slow but going into his hot SZN,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""equipment"",""detail"":""equipment""},""requested_amount"":{""value_usd"":125000,""raw"":""125k""},""product_interest"":[""MCA"",""EQUIPMENT""],""pending_actions"":[{""actor"":""lead"",""action"":""send bank statements"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,equipment: equipment,125k,"MCA,EQUIPMENT",1,false,,false,
notes_007,rep_note,Probl;em is proving incvome which he does not show in a bank statement or tax return. Said rate is a bit too high but would consider it. Reach out monday,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""HELOC""],""pending_actions"":[{""actor"":""rep"",""action"":""reach out"",""timing"":""next_week""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,HELOC,1,false,,false,
notes_008,rep_note,"has 700k through [BANK]
has real estate commericial realestate with a marina worth 6m owes 800k owns 50M in equipment

[URL]

[EMPLOYER] pays him - [EMPLOYER] pay him","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":""Commercial real estate"",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""SBA""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,Commercial real estate,,,,SBA,0,false,,false,
notes_009,rep_note,currently paying off high interest loan,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""MCA""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,MCA,0,false,,false,
notes_010,rep_note,"credit in the 600s, does 20-30k a month, pitched 30k contracts in his inbox toda","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":{""value_usd"":25000,""raw"":""20-30k a month""},""use_of_funds"":null,""requested_amount"":{""value_usd"":30000,""raw"":""30k""},""product_interest"":[""MCA""],""pending_actions"":[{""actor"":""lead"",""action"":""review contracts in inbox"",""timing"":""today""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,20-30k a month,,30k,MCA,1,false,,false,
notes_011,rep_note,"get id vd + [BANK] statement, to send welcome email","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""HELOC""],""pending_actions"":[{""actor"":""lead"",""action"":""send ID verification and bank statement"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,HELOC,1,false,,false,
notes_012,rep_note,"data merch, stopped payment w/ [BANK], recent funding","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""MCA""],""pending_actions"":[],""has_stacked_history"":true,""current_active_positions"":null,""recent_stacking_activity"":{""active"":true,""window"":""last_30d""}}",,,,,,MCA,0,true,,true,
notes_013,rep_note,Guy is frustrated becuase of all the calls but gave me a shot. Decent HELOC offer. He needs 200K but didn't specify exactly how he needs the money. Needs to go over the HELOC with his wife. Said he can get a better rate with his mortgage company but I sauced him up saying I'll get it done in 5 days. STAY IN HIS EARR,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""unspecified"",""detail"":null},""requested_amount"":{""value_usd"":200000,""raw"":""200K""},""product_interest"":[""HELOC""],""pending_actions"":[{""actor"":""lead"",""action"":""discuss HELOC with wife"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,unspecified,200K,HELOC,1,false,,false,
notes_014,rep_note,waiting for [BANK] to figure out the BPP situation,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""SBA""],""pending_actions"":[{""actor"":""lead"",""action"":""wait for bank to resolve BPP situation"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,SBA,1,false,,false,
notes_015,rep_note,"Needs 30k it for Tradeshow expenses today, has only 2 month and MTD of statement in new account, trying to get the old ones, also [NAME] makes a lot of transfers from another account.","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""working_capital"",""detail"":""Tradeshow expenses""},""requested_amount"":{""value_usd"":30000,""raw"":""30k""},""product_interest"":[],""pending_actions"":[{""actor"":""lead"",""action"":""provide old bank statements"",""timing"":""today""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,working_capital: Tradeshow expenses,30k,,1,false,,false,
